# Train        Test        
    0.519843     0.666575 
    0.684853     0.663812 
    0.723389     0.686188 
    0.746823     0.684392 
    0.758840     0.667541 
    0.777486     0.675138 
    0.796961     0.666851 
    0.816575     0.649033 
    0.829742     0.662845 
    0.845350     0.656768 
    0.852118     0.642956 
    0.865470     0.639779 
    0.871547     0.646823 
    0.882735     0.645856 
    0.887753     0.644890 
    0.897330     0.636326 
    0.904788     0.635773 
    0.912799     0.638536 
    0.919475     0.638950 
    0.922145     0.637155 
    0.931308     0.630939 
    0.934346     0.630663 
    0.937799     0.632320 
    0.939917     0.631215 
    0.949862     0.631768 
    0.952947     0.629834 
    0.956722     0.632320 
    0.961096     0.629144 
    0.960589     0.633840 
    0.964779     0.634116 
    0.967449     0.630663 
    0.968877     0.638674 
    0.970028     0.632320 
    0.973112     0.630525 
    0.975000     0.629834 
    0.975552     0.630249 
    0.975276     0.634392 
    0.977440     0.629972 
    0.981262     0.634254 
    0.982643     0.633978 
    0.982827     0.627762 
    0.982413     0.627762 
    0.983333     0.631354 
    0.983794     0.629282 
    0.985037     0.632182 
    0.986418     0.633978 
    0.987891     0.636602 
    0.986464     0.636878 
    0.987569     0.635912 
    0.987707     0.633011 
