# Train        Test        
    1.567137     1.035142 
    1.084027     1.370007 
    1.027994     1.055896 
    0.978890     1.145643 
    0.947566     1.076894 
    0.894365     1.413639 
    0.846143     1.147132 
    0.797731     1.255003 
    0.785922     1.068815 
    0.733051     1.203124 
    0.710777     1.182163 
    0.694048     1.274615 
    0.666026     1.219320 
    0.635663     1.134391 
    0.627006     1.325812 
    0.607804     1.208227 
    0.588542     1.260193 
    0.555614     1.201137 
    0.534199     1.330918 
    0.522607     1.291518 
    0.498586     1.219396 
    0.487611     1.362918 
    0.485568     1.342743 
    0.465131     1.496957 
    0.452159     1.283667 
    0.434880     1.371110 
    0.407338     1.252720 
    0.395911     1.280361 
    0.387062     1.297221 
    0.366391     1.223940 
    0.370147     1.373191 
    0.360476     1.314360 
    0.340579     1.245565 
    0.336018     1.272655 
    0.327378     1.422021 
    0.331003     1.343333 
    0.337173     1.378171 
    0.332230     1.237957 
    0.314852     1.371730 
    0.317984     1.423701 
    0.310390     1.374370 
    0.306779     1.378178 
    0.298516     1.262250 
    0.301186     1.435337 
    0.291666     1.365732 
    0.271279     1.298009 
    0.272905     1.251271 
    0.277663     1.231022 
    0.262429     1.290441 
    0.265659     1.384952 
